Datetime,Water Level (m)
2024-09-18 00:00:00,1.2917721
2024-09-18 01:00:00,1.1951243
2024-09-18 02:00:00,1.0319558
2024-09-18 03:00:00,0.8880954
2024-09-18 04:00:00,0.7628423
2024-09-18 05:00:00,0.6625048
2024-09-18 06:00:00,0.5843726
2024-09-18 07:00:00,0.54630136
2024-09-18 08:00:00,0.7893953
2024-09-18 09:00:00,1.2063369
2024-09-18 10:00:00,1.5831251
2024-09-18 11:00:00,1.8264701
2024-09-18 12:00:00,1.943861
2024-09-18 13:00:00,1.8464003
2024-09-18 14:00:00,1.6514264
2024-09-18 15:00:00,1.4827622
2024-09-18 16:00:00,1.3361747
2024-09-18 17:00:00,1.2175488
2024-09-18 18:00:00,1.1192491
2024-09-18 19:00:00,1.0389009
2024-09-18 20:00:00,1.0479038
2024-09-18 21:00:00,1.3994969
2024-09-18 22:00:00,1.8002898
2024-09-18 23:00:00,2.1144917
2024-09-19 00:00:00,2.258052
2024-09-19 01:00:00,2.167302
2024-09-19 02:00:00,1.9797822
2024-09-19 03:00:00,1.804613
2024-09-19 04:00:00,1.6520505
2024-09-19 05:00:00,1.5233097
2024-09-19 06:00:00,1.4162352
2024-09-19 07:00:00,1.3247012
2024-09-19 08:00:00,1.26818
2024-09-19 09:00:00,1.4717008
2024-09-19 10:00:00,1.8747956
2024-09-19 11:00:00,2.2249615
2024-09-19 12:00:00,2.4095354
2024-09-19 13:00:00,2.3506107
2024-09-19 14:00:00,2.1693878
2024-09-19 15:00:00,1.992102
2024-09-19 16:00:00,1.8345289
2024-09-19 17:00:00,1.7010763
2024-09-19 18:00:00,1.5864567
2024-09-19 19:00:00,1.487836
2024-09-19 20:00:00,1.4071394
2024-09-19 21:00:00,1.4616735
2024-09-19 22:00:00,1.852907
2024-09-19 23:00:00,2.2303133
2024-09-20 00:00:00,2.4747798
2024-09-20 01:00:00,2.4907248
2024-09-20 02:00:00,2.3235092
2024-09-20 03:00:00,2.1416492
2024-09-20 04:00:00,1.9740943
2024-09-20 05:00:00,1.8303739
2024-09-20 06:00:00,1.7073876
2024-09-20 07:00:00,1.6016319
2024-09-20 08:00:00,1.5107604
2024-09-20 09:00:00,1.4717523
2024-09-20 10:00:00,1.728879
2024-09-20 11:00:00,2.1021442
2024-09-20 12:00:00,2.386451
2024-09-20 13:00:00,2.4666984
2024-09-20 14:00:00,2.3430624
2024-09-20 15:00:00,2.175947
2024-09-20 16:00:00,2.0114355
2024-09-20 17:00:00,1.8674084
2024-09-20 18:00:00,1.7436546
2024-09-20 19:00:00,1.6364733
2024-09-20 20:00:00,1.5430337
2024-09-20 21:00:00,1.4782761
2024-09-20 22:00:00,1.6269076
2024-09-20 23:00:00,2.0148773
2024-09-21 00:00:00,2.3571777
2024-09-21 01:00:00,2.5286784
2024-09-21 02:00:00,2.48009
2024-09-21 03:00:00,2.3077478
2024-09-21 04:00:00,2.131653
2024-09-21 05:00:00,1.973692
2024-09-21 06:00:00,1.8383173
2024-09-21 07:00:00,1.7216488
2024-09-21 08:00:00,1.620954
2024-09-21 09:00:00,1.5361165
2024-09-21 10:00:00,1.538854
2024-09-21 11:00:00,1.8330657
2024-09-21 12:00:00,2.1605337
2024-09-21 13:00:00,2.3636296
2024-09-21 14:00:00,2.3633564
2024-09-21 15:00:00,2.2314677
2024-09-21 16:00:00,2.0773118
2024-09-21 17:00:00,1.93202
2024-09-21 18:00:00,1.8012222
2024-09-21 19:00:00,1.6884593
2024-09-21 20:00:00,1.5890913
2024-09-21 21:00:00,1.503716
2024-09-21 22:00:00,1.4844494
2024-09-21 23:00:00,1.7399808
2024-09-22 00:00:00,2.0931587
2024-09-22 01:00:00,2.3710132
2024-09-22 02:00:00,2.470534
2024-09-22 03:00:00,2.362432
2024-09-22 04:00:00,2.2001588
2024-09-22 05:00:00,2.0386002
2024-09-22 06:00:00,1.8967624
2024-09-22 07:00:00,1.7740029
2024-09-22 08:00:00,1.6668236
2024-09-22 09:00:00,1.5751176
2024-09-22 10:00:00,1.5040848
2024-09-22 11:00:00,1.5516912
2024-09-22 12:00:00,1.836069
2024-09-22 13:00:00,2.1112747
2024-09-22 14:00:00,2.2450528
2024-09-22 15:00:00,2.206366
2024-09-22 16:00:00,2.0852885
2024-09-22 17:00:00,1.9487886
2024-09-22 18:00:00,1.8203236
2024-09-22 19:00:00,1.7065866
2024-09-22 20:00:00,1.6068045
2024-09-22 21:00:00,1.5198284
2024-09-22 22:00:00,1.4505426
2024-09-22 23:00:00,1.4901739
2024-09-23 00:00:00,1.7728916
2024-09-23 01:00:00,2.0863929
2024-09-23 02:00:00,2.3059585
2024-09-23 03:00:00,2.3534284
2024-09-23 04:00:00,2.242639
2024-09-23 05:00:00,2.0934541
2024-09-23 06:00:00,1.9479429
2024-09-23 07:00:00,1.8186027
2024-09-23 08:00:00,1.7061461
2024-09-23 09:00:00,1.608199
2024-09-23 10:00:00,1.5231943
2024-09-23 11:00:00,1.4660743
2024-09-23 12:00:00,1.5285316
2024-09-23 13:00:00,1.7689413
2024-09-23 14:00:00,1.9887536
2024-09-23 15:00:00,2.0723534
2024-09-23 16:00:00,2.0284722
2024-09-23 17:00:00,1.9265287
2024-09-23 18:00:00,1.8090594
2024-09-23 19:00:00,1.6986554
2024-09-23 20:00:00,1.6011889
2024-09-23 21:00:00,1.5153863
2024-09-23 22:00:00,1.4394937
2024-09-23 23:00:00,1.394502
2024-09-24 00:00:00,1.4760457
